Epoch 1 | Cost: 2.430308e+00
Epoch 2 | Cost: 2.401706e+00
Epoch 3 | Cost: 2.373524e+00
Epoch 4 | Cost: 2.345679e+00
Epoch 5 | Cost: 2.318097e+00
Epoch 6 | Cost: 2.290724e+00
Epoch 7 | Cost: 2.263519e+00
Epoch 8 | Cost: 2.236460e+00
Epoch 9 | Cost: 2.209541e+00
Epoch 10 | Cost: 2.182772e+00
Epoch 11 | Cost: 2.156177e+00
Epoch 12 | Cost: 2.129798e+00
Epoch 13 | Cost: 2.103685e+00
Epoch 14 | Cost: 2.077897e+00
Epoch 15 | Cost: 2.052501e+00
Epoch 16 | Cost: 2.027561e+00
Epoch 17 | Cost: 2.003139e+00
Epoch 18 | Cost: 1.979286e+00
Epoch 19 | Cost: 1.956043e+00
Epoch 20 | Cost: 1.933435e+00
Epoch 21 | Cost: 1.911474e+00
Epoch 22 | Cost: 1.890160e+00
Epoch 23 | Cost: 1.869486e+00
Epoch 24 | Cost: 1.849435e+00
Epoch 25 | Cost: 1.829987e+00
Epoch 26 | Cost: 1.811121e+00
Epoch 27 | Cost: 1.792812e+00
Epoch 28 | Cost: 1.775035e+00
Epoch 29 | Cost: 1.757767e+00
Epoch 30 | Cost: 1.740983e+00
Epoch 31 | Cost: 1.724659e+00
Epoch 32 | Cost: 1.708770e+00
Epoch 33 | Cost: 1.693293e+00
Epoch 34 | Cost: 1.678205e+00
Epoch 35 | Cost: 1.663483e+00
Epoch 36 | Cost: 1.649105e+00
Epoch 37 | Cost: 1.635052e+00
Epoch 38 | Cost: 1.621303e+00
Epoch 39 | Cost: 1.607841e+00
Epoch 40 | Cost: 1.594648e+00
Epoch 41 | Cost: 1.581709e+00
Epoch 42 | Cost: 1.569010e+00
Epoch 43 | Cost: 1.556538e+00
Epoch 44 | Cost: 1.544280e+00
Epoch 45 | Cost: 1.532227e+00
Epoch 46 | Cost: 1.520368e+00
Epoch 47 | Cost: 1.508695e+00
Epoch 48 | Cost: 1.497200e+00
Epoch 49 | Cost: 1.485876e+00
Epoch 50 | Cost: 1.474716e+00
Epoch 51 | Cost: 1.463715e+00
Epoch 52 | Cost: 1.452868e+00
Epoch 53 | Cost: 1.442171e+00
Epoch 54 | Cost: 1.431620e+00
Epoch 55 | Cost: 1.421212e+00
Epoch 56 | Cost: 1.410945e+00
Epoch 57 | Cost: 1.400816e+00
Epoch 58 | Cost: 1.390824e+00
Epoch 59 | Cost: 1.380969e+00
Epoch 60 | Cost: 1.371249e+00
Epoch 61 | Cost: 1.361665e+00
Epoch 62 | Cost: 1.352217e+00
Epoch 63 | Cost: 1.342907e+00
Epoch 64 | Cost: 1.333736e+00
Epoch 65 | Cost: 1.324704e+00
Epoch 66 | Cost: 1.315814e+00
Epoch 67 | Cost: 1.307069e+00
Epoch 68 | Cost: 1.298469e+00
Epoch 69 | Cost: 1.290017e+00
Epoch 70 | Cost: 1.281714e+00
Epoch 71 | Cost: 1.273564e+00
Epoch 72 | Cost: 1.265566e+00
Epoch 73 | Cost: 1.257722e+00
Epoch 74 | Cost: 1.250033e+00
Epoch 75 | Cost: 1.242499e+00
Epoch 76 | Cost: 1.235120e+00
Epoch 77 | Cost: 1.227894e+00
Epoch 78 | Cost: 1.220820e+00
Epoch 79 | Cost: 1.213897e+00
Epoch 80 | Cost: 1.207122e+00
Epoch 81 | Cost: 1.200491e+00
Epoch 82 | Cost: 1.194002e+00
Epoch 83 | Cost: 1.187651e+00
Epoch 84 | Cost: 1.181434e+00
Epoch 85 | Cost: 1.175345e+00
Epoch 86 | Cost: 1.169382e+00
Epoch 87 | Cost: 1.163539e+00
Epoch 88 | Cost: 1.157811e+00
Epoch 89 | Cost: 1.152194e+00
Epoch 90 | Cost: 1.146683e+00
Epoch 91 | Cost: 1.141274e+00
Epoch 92 | Cost: 1.135961e+00
Epoch 93 | Cost: 1.130740e+00
Epoch 94 | Cost: 1.125607e+00
Epoch 95 | Cost: 1.120557e+00
Epoch 96 | Cost: 1.115587e+00
Epoch 97 | Cost: 1.110692e+00
Epoch 98 | Cost: 1.105870e+00
Epoch 99 | Cost: 1.101115e+00
Epoch 100 | Cost: 1.096425e+00
Epoch 101 | Cost: 1.091797e+00
Epoch 102 | Cost: 1.087227e+00
Epoch 103 | Cost: 1.082712e+00
Epoch 104 | Cost: 1.078250e+00
Epoch 105 | Cost: 1.073838e+00
Epoch 106 | Cost: 1.069472e+00
Epoch 107 | Cost: 1.065152e+00
Epoch 108 | Cost: 1.060874e+00
Epoch 109 | Cost: 1.056636e+00
Epoch 110 | Cost: 1.052435e+00
Epoch 111 | Cost: 1.048271e+00
Epoch 112 | Cost: 1.044140e+00
Epoch 113 | Cost: 1.040041e+00
Epoch 114 | Cost: 1.035972e+00
Epoch 115 | Cost: 1.031930e+00
Epoch 116 | Cost: 1.027916e+00
Epoch 117 | Cost: 1.023925e+00
Epoch 118 | Cost: 1.019958e+00
Epoch 119 | Cost: 1.016012e+00
Epoch 120 | Cost: 1.012085e+00
Epoch 121 | Cost: 1.008177e+00
Epoch 122 | Cost: 1.004285e+00
Epoch 123 | Cost: 1.000408e+00
Epoch 124 | Cost: 9.965445e-01
Epoch 125 | Cost: 9.926934e-01
Epoch 126 | Cost: 9.888529e-01
Epoch 127 | Cost: 9.850217e-01
Epoch 128 | Cost: 9.811984e-01
Epoch 129 | Cost: 9.773815e-01
Epoch 130 | Cost: 9.735696e-01
Epoch 131 | Cost: 9.697613e-01
Epoch 132 | Cost: 9.659554e-01
Epoch 133 | Cost: 9.621502e-01
Epoch 134 | Cost: 9.583446e-01
Epoch 135 | Cost: 9.545371e-01
Epoch 136 | Cost: 9.507262e-01
Epoch 137 | Cost: 9.469106e-01
Epoch 138 | Cost: 9.430889e-01
Epoch 139 | Cost: 9.392597e-01
Epoch 140 | Cost: 9.354214e-01
Epoch 141 | Cost: 9.315727e-01
Epoch 142 | Cost: 9.277120e-01
Epoch 143 | Cost: 9.238379e-01
Epoch 144 | Cost: 9.199490e-01
Epoch 145 | Cost: 9.160435e-01
Epoch 146 | Cost: 9.121202e-01
Epoch 147 | Cost: 9.081772e-01
Epoch 148 | Cost: 9.042132e-01
Epoch 149 | Cost: 9.002265e-01
Epoch 150 | Cost: 8.962154e-01
Epoch 151 | Cost: 8.921784e-01
Epoch 152 | Cost: 8.881137e-01
Epoch 153 | Cost: 8.840199e-01
Epoch 154 | Cost: 8.798951e-01
Epoch 155 | Cost: 8.757379e-01
Epoch 156 | Cost: 8.715464e-01
Epoch 157 | Cost: 8.673193e-01
Epoch 158 | Cost: 8.630548e-01
Epoch 159 | Cost: 8.587515e-01
Epoch 160 | Cost: 8.544080e-01
Epoch 161 | Cost: 8.500229e-01
Epoch 162 | Cost: 8.455951e-01
Epoch 163 | Cost: 8.411235e-01
Epoch 164 | Cost: 8.366074e-01
Epoch 165 | Cost: 8.320463e-01
Epoch 166 | Cost: 8.274399e-01
Epoch 167 | Cost: 8.227885e-01
Epoch 168 | Cost: 8.180927e-01
Epoch 169 | Cost: 8.133538e-01
Epoch 170 | Cost: 8.085737e-01
Epoch 171 | Cost: 8.037551e-01
Epoch 172 | Cost: 7.989018e-01
Epoch 173 | Cost: 7.940182e-01
Epoch 174 | Cost: 7.891104e-01
Epoch 175 | Cost: 7.841853e-01
Epoch 176 | Cost: 7.792517e-01
Epoch 177 | Cost: 7.743195e-01
Epoch 178 | Cost: 7.694003e-01
Epoch 179 | Cost: 7.645073e-01
Epoch 180 | Cost: 7.596552e-01
Epoch 181 | Cost: 7.548597e-01
Epoch 182 | Cost: 7.501378e-01
Epoch 183 | Cost: 7.455070e-01
Epoch 184 | Cost: 7.409848e-01
Epoch 185 | Cost: 7.365884e-01
Epoch 186 | Cost: 7.323335e-01
Epoch 187 | Cost: 7.282340e-01
